Synthetic_participant_ID,Synthetic_lr1,Synthetic_lr2,Synthetic_lam,Synthetic_w,Synthetic_p,Synthetic_a_bs,Synthetic_ndt,Synthetic_z_prime,Synthetic_v_stage_0,Synthetic_v_stage_1
1.0,0.5112626577149703,0.594865028110911,0.18566548084954437,0.18028403684518046,0.44993956054332807,1.2808654786598581,0.5893186552926619,0.14297364202651197,0.5640033925652155,4.754548381430799
2.0,0.1805666645364401,0.662416113700718,0.3884033219913907,0.9091996252548613,-0.061674961011111806,2.319215427092315,0.4083150126005588,0.06964125642637176,1.1062881642970201,4.186539702132307
3.0,0.8587508303537847,0.3876701318745407,0.147326119480385,0.19309058267618784,0.9943530843338813,0.9040824410742143,0.5560627565427412,0.3531021148327466,8.927048297511282,5.547074619713182
4.0,0.932116921291092,0.6470839238600028,0.9452622349580246,0.8812773786580989,0.33540462545198535,1.7168153786796405,0.07047668698565146,0.03936153942082182,7.848754995445647,0.3047881793824003
5.0,0.6575473205938799,0.41873991630929097,0.9099987128198257,0.348744055007691,0.41508626895962664,3.002795799859466,0.6212314540069469,0.40059837607925164,6.135149691746382,4.98501540073387
6.0,0.6449442335137233,0.4377483922991473,0.25853926218134327,0.05123857450516478,-0.3034673737778515,3.8139587896341287,0.6031704542289464,0.17986885785782397,9.121604359051688,1.4485988131935845
7.0,0.7859462126504531,0.5744528634887616,0.1701828623272591,0.4948199084207292,0.7871096435036742,0.4376974930234369,0.3736991271759358,0.2672632901440317,7.598615505418453,5.116566088467334
8.0,0.5180310493860085,0.3216999389512921,0.3774809684926501,0.3796741243984397,-0.9994283151870786,2.3808512617579987,0.3475496799724498,0.2085853286637918,5.117816399754953,1.6865511494369934
9.0,0.1845802033815781,0.32019968029520884,0.0433208421664929,0.02261374144348649,-0.120513339635137,0.9892386329918086,0.9372967101181404,0.11132971577220385,2.913169976625898,3.9945891298215552
10.0,0.9055951856600363,0.368738628874005,0.26426632512176873,0.5995589459988422,0.18032437111439203,2.386009488760634,0.3314458651801402,0.3770987865300928,9.477131013308131,3.337463488326542
11.0,0.18498277883872682,0.39441364409033286,0.6296933366726479,0.9044735827115324,0.08284879598647144,3.793109015545386,0.38605999712154637,0.2894776192359066,1.0107874376761172,3.109284579673186
12.0,0.3568788721660262,0.300026490800846,0.13000794034820373,0.6748594722002142,0.4082529330160507,1.0338459819916272,0.49521609005668643,0.4856430309793338,2.250264195634638,6.058009007244227
13.0,0.7892668993648918,0.21993173484281847,0.13880020270659554,0.07054505801651456,0.6078460515089341,0.9142122723144375,0.09213864010985295,0.060566614080510506,4.435942146488853,1.6961756212626788
14.0,0.05508934497058082,0.5383268832883584,0.5819120486040885,0.6392771463168166,-0.28558210797988304,1.8662172731918747,0.23007366609232394,0.3477229296765201,1.9364865131067277,7.579674386684266
15.0,0.8035712569003136,0.3667472456062776,0.2319704188493774,0.7107308295234497,0.11135196825406735,2.3084886635325117,0.47429915145428503,0.11977310470521169,1.9835084874894482,5.650083363335286
16.0,0.4547342679205516,0.4774392163036236,0.10974009842026433,0.6306160214050249,-0.1835560889927783,0.9033627959410182,0.09403806186712627,0.3508519401652816,1.1524486718021454,4.316451128974819
17.0,0.04524975096831296,0.7265060221400257,0.019903045673639763,0.058919666538140736,-0.7097221031723433,1.033413080357058,0.14275860819477004,0.11062485092392432,8.50082175281077,2.0600608282702524
18.0,0.15553055811709127,0.9653251216217426,0.1661327028150369,0.40260961462391764,0.5639381303326947,2.760460384093801,0.031950965301369205,0.4034916685356744,8.595521726074892,1.2803724621492274
19.0,0.610169401010401,0.1540072677005052,0.08622278456757804,0.007783432382843625,-0.15524481409277135,3.02576160716901,0.7045276941902316,0.10521591045822631,9.289171989769846,8.270944097614946
20.0,0.925630178369486,0.5947238143338424,0.2459485988581971,0.11930656860583855,-0.6949736659802923,1.7285142602901953,0.5210544568893539,0.4419905121023053,3.1282973365006175,2.199386255714572
21.0,0.7940529531043884,0.9137782518855291,0.9840026873063293,0.4900016036944056,0.2746411971404725,2.513095604837125,0.13841267216258868,0.09695084348568866,6.014098270493882,8.143738400797217
22.0,0.7586577404169342,0.5575415143940924,0.44444634954682993,0.36632263929839326,0.8949974043712083,1.6028500703609307,0.8812455304433979,0.3062557997166717,8.025842140045338,1.1368544615654053
23.0,0.4545225580108827,0.05040655310266251,0.35039129120338874,0.6453694011206421,-0.009261531605792905,0.5164304471666742,0.3978898254593015,0.32485740400462554,1.9558452201226562,8.09269798661524
