ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_gamma1,Synthetic_gamma1,Recovered_gamma2,Synthetic_gamma2,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r
1,2.1217011503003005,4.0,3.3112129578368887,0.01700573351287811,0.010327961345232,0.1600831151164968,0.2403362789354657,14.942432854743693,19.99751575148525,20.0,2.39366554384973,5.721225451430265,4.900894960876333,3.9396461691275215,3.9501307530134255,0.3598510931561565,0.2733283460563137
2,4.6657280331758155,4.0,2.6496367227649915,0.5632099264618999,0.4392724009691917,0.056525114346687055,0.174860983877568,5.801927001496849,17.57260053165441,20.0,3.629747951154607,10.0,6.390528592947753,5.0,3.704134390989646,0.5182471911549741,0.537603731955937
3,2.454796394063505,4.0,2.5153662743887644,0.10922215533795916,0.107068856959804,0.2512728170611468,0.2772332883490782,6.134788934083698,11.739244144593584,10.290087347898838,7.909274326150228,10.0,6.639460814328007,5.0,4.259773224021491,0.34575306939040257,0.3141332535873101
4,2.079441596631972,4.0,3.61309080348134,0.19723043163030354,0.3448582653879839,0.9,0.8488118976554292,6.935654466220197,12.347646260499303,12.26592521121815,15.801910422918,7.341379644661002,5.14775428373226,3.2390009659011336,2.655723471966544,0.5192738642107035,0.3965563392595831
5,23.149242952167015,0.05917746363558141,0.517458828909422,0.5436073094574797,0.3454397206743813,0.10346262374900445,0.1934788327125098,8.994871157931122,0.6573051176383315,15.87483622714467,5.49773659650519,9.9999999958826,1.8057605266685692,2.99996583368843,4.377651575190614,0.21575339474517657,0.248741937458843
6,82.5268751185018,0.012786272926082608,0.735582396327533,0.4996838179538925,0.6336276259827008,0.5871929743463833,0.8273033019182461,12.677882729482262,5.029169044638682,20.0,0.4260226292276314,10.0,9.605044727550997,4.25747513491136,3.4111032023697527,0.48926093625313294,0.3863976176383136
7,2.1805976902853796,4.0,1.8894937688609592,0.5073060950435448,0.5393302864908871,0.4683045684184,0.3364817148588079,16.681840296558516,17.48975593242354,20.0,14.523451766152547,10.0,9.543407046242113,2.264807180678061,1.7553276142410583,0.715694173166317,0.7623044532330687
8,14.047439385751229,0.6808322254906085,1.916402296902976,0.5361050006137227,0.5780903747836242,0.4093918368966061,0.6629824842793987,9.530141589706657,16.186759380113603,20.0,7.925187345653876,3.560303397519607,4.479459785147712,3.777839169587102,4.0863851305637535,0.8,0.630534321854573
9,21.937515427505595,3.9273049875113393,3.763396837498576,0.9,0.881638084276057,0.23266297131682487,0.1610220027292619,5.0390983538693375,4.558388236255104,20.0,14.319728945580936,10.0,7.473827346542434,3.5950342904485972,3.015897771162628,0.7871111030275445,0.7263798585329069
10,16.46822528993573,0.6296368972710419,1.007961848442954,0.28899204222403724,0.3055386548671132,0.4186119871367187,0.445182163296218,10.864410246600729,6.300541779371351,20.0,10.908781786836087,3.9382352745113622,6.824780792979444,0.4845350336049245,1.1018345057684742,0.5180857924410648,0.4912024723810284
11,45.814140665976325,3.2001573826393073,3.9719254305499136,0.30077752722319945,0.2917451728631114,0.0,0.0318257275421825,19.199252946809636,16.347034585680266,15.953451096003066,10.066135671993246,0.3898695374487788,0.527838561185705,2.2037699180797397,4.451525136121206,0.39759964083938526,0.4427086279882147
12,2.2517610231014293,2.7144181516391446,3.717092728561588,0.33574855499445255,0.3618703564205054,0.12361033047575584,0.0691490562972127,10.79501402348937,4.906022882399855,17.761503530731385,7.005210114144056,9.998727921592748,7.507282923552251,1.119646389383499,0.9237407617464184,0.4625050014571063,0.4585841922355246
