Synthetic_participant_ID,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1.0,0.8063865376326844,0.29477165026346025,0.6686291253507274,3.4092024913234207,0.23805464353277517,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2.0,3.6101462256889802,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.21471569566838056,3.1898600647018904,1.2191981389008766
3.0,3.8520729583821383,0.45358470845890453,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.30375843415186865,5.216593134132719,7.123121956474292
4.0,1.221254125793227,0.011270553197825939,0.24143654622234273,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5.0,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536653,9.020760015248445,3.9575026156518067
6.0,0.3360851191949008,0.7466163466123342,0.48503839797687087,5.42076154739123,4.125876652832098,0.21919051062546435,3.5484535492830798,0.03463400133772032,6.931945583783881,5.874844793504091
7.0,2.5669967233343867,0.33667216896443053,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.44137923095350085,9.72139087121452,7.425224523517098
8.0,1.4196100434030936,0.5881779293972935,0.48835477068454836,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.38704623260508586,8.540597949343145,2.708449138359166
9.0,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.7241693651624637,0.3774353206543287,1.7742953272314486,0.37723956753050947,6.636026316710936,0.8633328681516406
10.0,2.1995596818879246,0.013879640108930258,0.8847350851854751,5.984272223880148,1.9205711399811332,0.28804875843648964,2.878449807816179,0.9058084167065523,3.181087523446168,7.664921446562297
11.0,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.36142543235115115,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12.0,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.28571649537130284,0.4765470496967894,4.475791440506382
13.0,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14.0,2.483809550321889,0.12005462713071599,0.029617844933281023,1.1341100113082614,2.3873053816982654,0.2144160407784851,2.6169730378077203,0.09758261797608447,2.5096153771624574,4.264929458562184
15.0,0.46330698682499616,0.2434967944177198,0.01897170555196014,9.850455536104693,3.057868040607053,0.4270123033011495,0.39815489910866186,0.3898387483749842,4.5255862638643425,9.310031937645029
16.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633892,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17.0,0.23811442856028542,0.4332604132341328,0.8331336978212078,4.055573841390242,0.37516319668270404,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18.0,1.0400758878267693,0.18125266834234824,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.19459373523814183,7.613352159920956,1.5009846135204996
19.0,1.06362816419131,0.6205453768599025,0.013580376869681198,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.35980967658641894,3.5839524462532513
20.0,2.553112533067297,0.1287036985664904,0.7719647530602965,6.455644082734327,0.5764671274001354,0.32485844599936836,3.058343823768209,0.40340662833417285,4.844700609485067,8.874550780727276
21.0,0.5497741984969235,0.8679355176475059,0.0383667136169219,0.9944025725488481,1.1161921547022176,0.6839510493563086,1.986729387267159,0.6532511422613194,1.7432113751983724,1.6672193292652826
22.0,2.0833933622151566,0.6662642717521995,0.41622701869352563,8.696140851211128,3.3020596733532015,0.34945405307115973,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097823
23.0,3.4476239972753318,0.23544971341462959,0.3710510351807128,6.115440994503215,2.7341722790790417,0.43356496724537946,0.6752568744607239,0.7122448043972556,0.8813516392543386,8.660774293737196
