ParticipantID,NLL,Fitted_lr1,Fitted_lr2,Fitted_lam,Fitted_w,Fitted_p,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
1,1.1936867429899434,0.5348416599758307,0.3455181319365099,1.0,0.6055962439736836,0.0948065722568244,2.062585543911286,0.40621648317733045,3.604351282005667,3.207401115949034
2,1.3587366455992456,0.5906314802190842,0.3579529371575196,1.0,0.33848786897734773,-0.04561680316011392,1.8715610188781897,0.3521816100201602,3.737972559739435,2.428945749672003
3,1.1981847119407032,0.6437466850794727,0.5297521144413693,1.0,0.752413215427058,-0.025433993475642257,1.5234182848491524,0.31918674313133855,3.450938103309448,3.9668090074937994
4,1.0818791278378945,0.5898930740857263,0.3665224776089558,1.0,0.0581763377911127,-0.016464865650460434,2.0388853725451566,0.2687864330604054,3.8574919874798477,3.4967859699321107
5,1.3190284137282713,0.6080531942266892,0.22825831653812195,1.0,0.09435693354118903,-0.01760481996205977,2.214731134039291,0.2751261076778539,3.7439947668829374,3.2374045260612543
6,0.677761053611144,0.6947979691548878,0.5783746237282985,1.0,0.3328860270684083,0.051122477776330506,1.4866324430664506,0.25068690457733717,3.6677279673533114,4.228897320863574
7,1.3103163739880943,0.7533240773437938,0.43011700345691795,1.0,0.5376409132855499,0.05751496005541104,1.743467245812026,0.28126178824360437,4.412404007680146,2.7056262149755343
8,1.0046122228662824,0.6334080634080139,0.3465178756338811,1.0,0.3757406968160737,0.019026836232921427,1.8690479323292313,0.29410347547949756,3.802037053085336,3.8362176897959404
9,1.6453376952905556,0.565077473579426,0.4379471444910463,1.0,0.7025396174422296,-0.12663433214621872,2.32460039760738,0.27286156267927614,4.041605315500048,3.3018992333797286
10,1.2772848296771049,0.36847875512519335,0.5069270944361821,1.0,0.6062224813882863,0.05423669155481659,1.7775044062208085,0.3369158853586556,3.2250243221929145,4.109569879094804
11,1.314665812284255,0.360995182213301,0.3825268874012793,1.0,0.4928317224151116,-0.0006112256262175763,2.579735610606246,0.37767659176712565,4.412864917823292,4.517878447408518
12,0.4613511728685065,0.7749630528132695,0.40759886562901426,1.0,0.23193153399938476,0.11347133128874294,1.8103752065895535,0.30556444894941176,5.243607039548421,3.9487249696795406
13,0.9246737591834578,0.5384609243571424,0.3747606034465575,1.0,0.5639865782939805,0.029731908716750237,2.0938943913558754,0.30693938338807236,4.300438921858026,4.986346604416477
14,0.9116960009568462,0.6058572911349767,0.2291058161216765,1.0,0.6867346108771388,0.025323350150792474,1.5659225889041724,0.2759329435640552,4.122822042127877,3.9145367442081542
15,1.0242348276722284,0.6634915726430449,0.48320807205941824,1.0,0.4921572529785239,0.06549006033046144,1.947230957564232,0.2642405294522437,4.091848035278648,3.3157715830040035
16,1.5971957552900293,0.5127535675350575,0.17775208990619953,1.0,0.46757989187858273,-0.031096083743683403,2.178863804838695,0.26773489787009114,3.189148344081206,4.385120126915953
