ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_stage_0,Synthetic_v_stage_0,Recovered_v_stage_1,Synthetic_v_stage_1
1,-2.0663107251841155,0.8206330691966335,0.8063865376326844,0.2860515458171017,0.2947716502634602,0.66303981911461,0.6686291253507274,3.107086560460738,3.4092024913234207,0.21282606567580656,0.2380546435327751,0.29710273729236925,0.293814157205751,1.103919902136686,1.0172999807403231,0.49461311613472575,0.4951123625611782,6.86986073825763,6.351249610913382,9.999548489986548,8.80219977218583
2,-1.6294560469952275,2.720910639160617,3.61014622568898,0.2900715894445781,0.2764446916365855,0.5864993358933293,0.6780420658130272,0.9384091173341829,2.824280305589726,0.9161165757954579,1.8428843488263795,0.32034089119762477,0.3756359372558782,2.0116075911522215,1.8306557239366752,0.2128973389466018,0.2147156956683805,10.0,3.1898600647018904,4.375455727410823,1.2191981389008766
3,-3.6298919445808604,4.0,3.852072958382138,0.45341934079011875,0.4535847084589045,0.8351678094139271,0.8307906143297975,8.17212300873243,7.461601407734211,2.396868529682711,2.288526438402096,0.6542979455389257,0.6527733351848791,2.590175032829412,2.6236853908456257,0.3047942873849322,0.3037584341518686,4.712382783414032,5.216593134132719,6.371413536978124,7.123121956474292
4,-5.468796166356949,1.311527510898162,1.221254125793227,0.011469071202430042,0.0112705531978259,0.23601927898327207,0.2414365462223427,5.029675186664002,7.9674547559008415,5.0,4.649965444817506,0.5849572713584507,0.5751986929419531,0.8106525666562704,0.7913876929475208,0.7559064771956252,0.7575703592474212,1.5058274424319729,5.269053460473439,9.999208551893217,7.5386907162121295
5,-3.723638542433572,2.8879386230803834,3.43444681228005,0.8398044719292461,0.8527873959916419,0.5807658465179918,0.5890837811605484,4.104248636094431,8.542582098426465,3.320345757539134,3.712940288482734,0.5972530487044074,0.6362607130422062,3.5090455024403453,3.4775257981877696,0.9183575873436038,0.9230030407536652,8.678446037744767,9.020760015248444,8.302610720761653,3.957502615651807
6,13.260668711563369,0.19831178516993422,0.3360851191949008,0.7412622057623517,0.7466163466123342,0.64348143420928,0.4850383979768708,6.694295479464882,5.42076154739123,4.2056871736255355,4.125876652832098,0.2021077006315414,0.2191905106254643,2.993124881823649,3.54845354928308,0.04389255819459832,0.0346340013377203,8.078897742160779,6.931945583783881,8.200086490822628,5.874844793504091
7,-4.653032019080414,2.3412623316689496,2.5669967233343867,0.33093407237545375,0.3366721689644305,0.25213286808965046,0.2479158239850937,3.3144888133885244,5.094085814387624,5.0,4.429115585748607,0.5163817947904518,0.5391738022193411,2.525871596516368,2.753650898417972,0.4372953988320611,0.4413792309535008,2.0935215458630987,9.72139087121452,10.0,7.425224523517098
8,-3.335944024347639,1.4005961962680253,1.4196100434030936,0.5760838532382537,0.5881779293972935,0.4755747587432958,0.4883547706845483,7.722933893977904,8.84056212378686,1.2315526881714634,1.3752702553270586,0.26751060712183833,0.2648404911034024,1.0805992868775185,1.0077065914423295,0.38687560026703377,0.3870462326050858,9.999411174632469,8.540597949343145,3.2076301183954814,2.708449138359166
9,-1.90631978951864,2.5936329427238056,2.5054352128347346,0.5588351843188556,0.5611966209410025,0.24349976260814674,0.3672424218131358,0.5992148934449684,0.5033512965945175,4.778736818336752,3.724169365162464,0.4030826932831047,0.3774353206543287,1.802481338826607,1.7742953272314486,0.37486636385082095,0.3772395675305094,1.627222265160019,6.636026316710936,0.8796575591105472,0.8633328681516406
10,-3.126974464875431,2.4370572962180166,2.1995596818879246,0.01547009023822234,0.0138796401089302,0.88941570445231,0.8847350851854751,3.9029048807616844,5.984272223880148,1.6298205488683015,1.9205711399811327,0.2519413951237725,0.2880487584364896,2.902787342271851,2.878449807816179,0.9051143960914431,0.9058084167065524,4.231547557309917,3.181087523446168,9.958855425262504,7.664921446562297
11,-3.827481921986485,1.207160679566899,1.1499924081647506,0.863748193961473,0.861502808136954,0.6212762699394503,0.6320841793153267,3.213233342850599,6.250155931933211,5.0,4.6536736657507385,0.35924813747963247,0.3614254323511511,3.6349708845764357,3.7173782614608144,0.672440615415613,0.6780829341239825,2.3036072565321897,7.7136250720146196,10.0,5.716353364349514
12,-0.871101388195761,3.2582906117590587,3.335618709996933,0.6057224938586856,0.6284536193626764,0.15963413999738407,0.1319478315992181,9.99912928290974,6.124611286280749,1.8023989147243364,1.3966016780816592,0.7792802944215292,0.7495272338403802,0.9932294345277114,1.0334594737775689,0.28580097260904186,0.2857164953713028,0.29160121879394435,0.4765470496967894,2.6186087019599156,4.475791440506382
