Synthetic_participant_ID,Synthetic_lr1,Synthetic_lr2,Synthetic_lam,Synthetic_w,Synthetic_p,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1.0,0.8278032394592222,0.011475512605813365,0.2670403099282952,0.9998757875742624,-0.760633445615027,2.1133311355242435,0.7900261506026853,1.2221391009385618,6.624091806912479
2.0,0.4880804455213241,0.19428998208618675,0.8786300265827204,0.18148739755773036,0.2781057185895506,3.0410594493323377,0.5626728865932282,6.288415685971911,1.1896539662200445
3.0,0.3080369870545313,0.5869622072296792,0.3954637163075114,0.6639460814328006,0.7039092896085966,1.0038217304550792,0.903272700870335,3.8317585043109323,9.431243307282546
4.0,0.6173823130249652,0.7900955211459,0.514775428373226,0.5311446943933088,-0.3448122024680562,0.7786494167412153,0.3838219118604237,2.1497648079167764,0.3286525588191658
5.0,0.27488682982525947,0.18057605266685695,0.8755303150381228,0.08123656243140498,-0.6322088018362335,2.9049135734844365,0.9192258910202734,2.514584522319341,0.21301131461381573
6.0,0.9605044727550998,0.6822206404739506,0.3106626960638559,0.4723734422152398,0.1985117477575269,1.6833137166417662,0.874487796621177,7.2617258830762745,9.543407046242113
7.0,0.3510655228482117,0.9371740887217811,0.47910057422574404,0.6423226386484714,0.47329440950977486,3.2945504853210164,0.39625936728269384,4.479459785147712,8.172770261127507
8.0,0.7175572030909549,0.9408492093746439,0.9795978714178412,0.1789133363658466,-0.5441611763744896,2.949149854932473,0.7473827346542434,6.031795542325255,8.772997642215113
9.0,0.2519904621107385,0.3394873942967924,0.49464684810690895,0.31502708896856757,0.09087817868360881,2.825168893402394,0.22036690115369484,4.853374539683806,9.929813576374784
10.0,0.3241613031812349,0.03536191949131395,0.8173517292840132,0.5033067835996623,-0.894432287762859,3.5941286007296926,0.4045143799803578,9.292731821403969,4.020781738005615
11.0,0.07683228477468085,0.2453011441199927,0.3502605057072028,0.7507282923552251,-0.6305036953014327,1.8946025187857354,0.8732454198159687,5.337610913727832,1.0315471974905666
12.0,0.024522487054632225,0.7058098011610486,0.979127490958217,0.7851652629523068,0.5294523936908351,2.7991558080086736,0.7955027102986651,0.4001778567264369,2.6468163171685397
13.0,0.6953975359715524,0.8669883296077439,0.6746068718168242,0.17627612798343162,0.8726169198913862,3.6425011904101554,0.08667876614010639,1.93000037574253,2.751930306105267
14.0,0.7384118706046068,0.859373328300857,0.5783223874515512,0.19964557065166222,-0.1698202247572751,0.8100790409771965,0.9173961868584244,7.645309404104736,5.102138338060776
15.0,0.45357504317083797,0.0978420783455699,0.3186753563003273,0.12063279535739646,0.5646761267245202,2.31606971470192,0.22727738141515885,2.242028392559363,2.603981975157855
16.0,0.308872752316256,0.38770513178140986,0.29754893237723723,0.6795558945331504,-0.9298527613898422,1.5140081652460622,0.7452918728580155,9.428079850752848,8.027325501575511
17.0,0.24082620957155398,0.2329154683838317,0.19033679471718912,0.8824975348586093,-0.5242886255175603,3.1052683066285716,0.26104973140468657,0.3308184340751563,7.334477000687659
18.0,0.7262018097952009,0.08895911096105347,0.3267012579296016,0.9483652901890226,-0.674102002835631,0.6206881488157674,0.5946038881116259,9.309898653459719,1.337783077430914
19.0,0.5130122936600178,0.6839992141169576,0.17182975960682711,0.011259893492189477,0.7753662609594496,0.4303557014174302,0.25745828380767455,6.516840317406684,2.857829333557622
20.0,0.009707596574816568,0.5754518344649824,0.30779227833471057,0.15151406185212313,0.9425666234651602,0.9103973912261241,0.7272354411432771,8.90724191493513,8.587151157269453
21.0,0.1842570671584468,0.23680853369423926,0.018362636502572416,0.9314054672648543,0.7742423533146128,2.5032248251873086,0.10936765550685368,1.7354264684250154,5.769603709326084
22.0,0.25165697350014493,0.30017183323604846,0.17098734894301837,0.18959171907276484,-0.07315769121909721,2.186533698725213,0.5115798896647326,9.97138799366921,1.295958172701398
23.0,0.7561698883877354,0.7937567472248925,0.5848825987705206,0.4627381802693252,0.7868532747005588,3.364266810570561,0.050290936028703714,9.62983753087854,0.07339891753643801
