ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vps,Synthetic_vps,Recovered_gamma1,Synthetic_gamma1,Recovered_gamma2,Synthetic_gamma2,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r
1,2.0823761990465153,3.286360549102166,3.3112129578368887,0.0,0.010327961345232,0.3480220461608914,0.2403362789354657,3.4643941545494017,19.99751575148525,20.0,2.39366554384973,4.901578863944229,4.900894960876333,3.759089433031899,3.9501307530134255,0.26689822411166264,0.2733283460563137
2,3.800755259725773,2.9966275475818125,2.6496367227649915,0.5731198712697065,0.4392724009691917,0.031989689169936324,0.174860983877568,16.524996568683157,17.57260053165441,20.0,3.629747951154607,10.0,6.390528592947753,4.165806223669881,3.704134390989646,0.5428338575343238,0.537603731955937
3,2.085958382006792,2.408938702330171,2.5153662743887644,0.12190432882399714,0.107068856959804,0.3163632060901278,0.2772332883490782,16.749166967030217,11.739244144593584,20.0,7.909274326150228,5.061138954492748,6.639460814328007,3.146150542179175,4.259773224021491,0.2752972700396129,0.3141332535873101
4,2.079481240822868,4.0,3.61309080348134,0.40725045446479113,0.3448582653879839,0.7419727433532326,0.8488118976554292,14.023103135488821,12.347646260499303,20.0,15.801910422918,7.113510758446651,5.14775428373226,2.7443271279122836,2.655723471966544,0.47114740704118124,0.3965563392595831
5,22.967474212927577,0.02699796944581572,0.517458828909422,0.33665771522862686,0.3454397206743813,0.17779101450110377,0.1934788327125098,8.125609242519884,0.6573051176383315,20.0,5.49773659650519,10.0,1.8057605266685692,4.511484888706506,4.377651575190614,0.29608777101772443,0.248741937458843
6,48.3840004285482,0.33834268673444434,0.735582396327533,0.6545234484825749,0.6336276259827008,0.7503885800129967,0.8273033019182461,11.335635152390422,5.029169044638682,1.1953740274621352,0.4260226292276314,10.0,9.605044727550997,2.2723622250247004,3.4111032023697527,0.42625055652792926,0.3863976176383136
7,2.0818248676291327,3.295071450987878,1.8894937688609592,0.4072516518426524,0.5393302864908871,0.3064936304809013,0.3364817148588079,16.850932852369613,17.48975593242354,20.0,14.523451766152547,10.0,9.543407046242113,2.119198997305712,1.7553276142410583,0.7678056970668304,0.7623044532330687
8,11.24010805400897,0.3883437803142185,1.916402296902976,0.6069992840716578,0.5780903747836242,0.9,0.6629824842793987,9.247201570760419,16.186759380113603,20.0,7.925187345653876,10.0,4.479459785147712,4.0818248059137625,4.0863851305637535,0.5121469271370747,0.630534321854573
9,21.82197112425263,4.0,3.763396837498576,0.9,0.881638084276057,0.9,0.1610220027292619,13.578551380612039,4.558388236255104,20.0,14.319728945580936,10.0,7.473827346542434,3.604908545766339,3.015897771162628,0.7820724132397263,0.7263798585329069
10,7.657057507963969,2.2301709217099153,1.007961848442954,0.2887878963396929,0.3055386548671132,0.40026021918983185,0.445182163296218,10.228155985660539,6.300541779371351,9.110168047576684,10.908781786836087,10.0,6.824780792979444,1.6391348349731487,1.1018345057684742,0.5245958696077558,0.4912024723810284
11,45.814140665683034,3.200194831669073,3.9719254305499136,0.3007784833023173,0.2917451728631114,0.0,0.0318257275421825,4.766922024799429,16.347034585680266,15.953133688329407,10.066135671993246,0.38987627619094506,0.527838561185705,2.966079297945614,4.451525136121206,0.39760094105320837,0.4427086279882147
12,2.527347559915713,2.202827914021576,3.717092728561588,0.32917924428745043,0.3618703564205054,0.11411911474830388,0.0691490562972127,12.24186380113136,4.906022882399855,19.999977567017268,7.005210114144056,9.252893798225864,7.507282923552251,1.3194433380677897,0.9237407617464184,0.46447299779062223,0.4585841922355246
13,3.4669407983251728,4.0,3.492981679263875,0.5761961939901359,0.4803849822355048,0.0,0.0928392477741509,13.37709412842553,0.4904497410926445,20.0,14.116196023220972,10.0,9.791274909582173,4.629010463367732,3.925826314761534,0.6531111289604649,0.6588357181072506
14,10.23821686129078,2.9773627211197438,2.7017900627120794,0.7459645547651197,0.7159524392687987,0.3524541478216227,0.0360160071053793,18.091772250163277,5.293632634337079,13.006566648507789,13.907950719431048,10.0,8.669883296077439,5.0,3.373034359084121,0.2,0.305765676790059
15,20.259177608818142,1.6370240519261783,3.745233839782773,0.8521132133070032,0.8130408300997676,0.0,0.0780108895260957,4.3080673819263655,3.86000075148506,20.0,5.503860612210534,10.0,7.384118706046068,3.639467492137017,4.296866641504285,0.6424244829978263,0.5469934324709308
