ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vsamp,Synthetic_vsamp,Recovered_vps,Synthetic_vps,Recovered_gamma1,Synthetic_gamma1,Recovered_gamma2,Synthetic_gamma2,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r
1,4.653204279809587,2.6467605731392783,3.3112129578368887,0.0,0.010327961345232,0.07856464571383556,0.2403362789354657,14.230495172569436,19.99751575148525,16.165712358413792,2.39366554384973,0.7589364548428708,4.900894960876333,4.0474534606329104,3.9501307530134255,0.2,0.2733283460563137
2,6.238324686405616,2.922936109794979,2.6496367227649915,0.0,0.4392724009691917,0.6614367501536874,0.174860983877568,10.176322420382483,17.57260053165441,6.03617607102963,3.629747951154607,8.814595595008338,6.390528592947753,4.414750421940693,3.704134390989646,0.2,0.537603731955937
3,2.563892022771442,3.633870668492983,2.5153662743887644,0.13962859684367987,0.107068856959804,0.25314086636608324,0.2772332883490782,12.815407856803443,11.739244144593584,7.701313313361591,7.909274326150228,10.0,6.639460814328007,5.0,4.259773224021491,0.32014546666392163,0.3141332535873101
4,37.702104148338364,3.999999999998252,3.61309080348134,0.405973166670933,0.3448582653879839,0.8332817738433878,0.8488118976554292,10.147411558125803,12.347646260499303,2.5547214510462624,15.801910422918,5.715168358709917,5.14775428373226,2.6959965625265045,2.655723471966544,0.3743788123566979,0.3965563392595831
5,10.190549246309361,3.0618540086884374,0.517458828909422,0.702412234644909,0.3454397206743813,0.0,0.1934788327125098,18.422682667722626,0.6573051176383315,18.2091219404909,5.49773659650519,5.1026647703116685,1.8057605266685692,3.3362129899219073,4.377651575190614,0.2,0.248741937458843
6,16.218859918878387,0.8355711856307803,0.735582396327533,0.707421181717056,0.6336276259827008,0.8648799028489834,0.8273033019182461,5.113491883050426,5.029169044638682,0.8842290533135474,0.4260226292276314,10.0,9.605044727550997,4.106307033155649,3.4111032023697527,0.6697518833596044,0.3863976176383136
7,98.1050802927443,3.1498861471338646,1.8894937688609592,0.1616965688985251,0.5393302864908871,0.7281520059214431,0.3364817148588079,0.04369622002354142,17.48975593242354,8.084075533332003,14.523451766152547,10.0,9.543407046242113,3.4765702967704284,1.7553276142410583,0.48887672479606276,0.7623044532330687
8,5.442768541791271,1.7968324403527822,1.916402296902976,0.24941649807594476,0.5780903747836242,0.8038039426626284,0.6629824842793987,10.01212211888632,16.186759380113603,14.98123436512679,7.925187345653876,6.686891559868209,4.479459785147712,4.674786297242602,4.0863851305637535,0.63843827190035,0.630534321854573
9,13.785941229491188,4.0,3.763396837498576,0.786241533215347,0.881638084276057,0.42917332764264265,0.1610220027292619,6.167687021513664,4.558388236255104,8.133563444254744,14.319728945580936,10.0,7.473827346542434,4.61942852305252,3.015897771162628,0.5012178244344048,0.7263798585329069
10,2.2360610209153453,1.218840797638923,1.007961848442954,0.18405480338633642,0.3055386548671132,0.49854955479748553,0.445182163296218,9.775562489799853,6.300541779371351,17.137704323771782,10.908781786836087,8.39318666048116,6.824780792979444,1.2536376314733655,1.1018345057684742,0.8,0.4912024723810284
11,6.526603030050652,4.0,3.9719254305499136,0.225453834718423,0.2917451728631114,0.8052658857084614,0.0318257275421825,20.0,16.347034585680266,20.0,10.066135671993246,2.891948438416878,0.527838561185705,3.0741374313256533,4.451525136121206,0.6849415580908219,0.4427086279882147
12,2.231359151506832,3.288634168947997,3.717092728561588,0.39491729272779724,0.3618703564205054,7.206406148094018e-12,0.0691490562972127,13.803689133725996,4.906022882399855,18.804071297224176,7.005210114144056,5.486669242773769,7.507282923552251,0.8771320127124095,0.9237407617464184,0.41435954239554285,0.4585841922355246
13,9.704061317521205,3.9992205252044086,3.492981679263875,0.23459408111643146,0.4803849822355048,0.557865726423577,0.0928392477741509,11.203628366321613,0.4904497410926445,14.54061165816634,14.116196023220972,5.014122290866277,9.791274909582173,3.4765685980939893,3.925826314761534,0.2223432158585782,0.6588357181072506
14,13.28362084659993,4.0,2.7017900627120794,0.8922272418435708,0.7159524392687987,0.0,0.0360160071053793,5.345779381704875,5.293632634337079,7.552231761473785,13.907950719431048,10.0,8.669883296077439,5.0,3.373034359084121,0.2,0.305765676790059
15,12.446375302551674,0.10867702877054419,3.745233839782773,0.3112810452246721,0.8130408300997676,0.5567554354831791,0.0780108895260957,20.0,3.86000075148506,18.52538976108085,5.503860612210534,9.999833598842176,7.384118706046068,5.0,4.296866641504285,0.31998253555024875,0.5469934324709308
16,2.079441602606636,2.0089523551651087,0.7985822826066489,0.0,0.3735808988592262,0.541636798016358,0.1240732802376964,4.144558906302355,18.34792373716849,17.274241295634795,15.290618808209471,4.592871611505587,5.102138338060776,2.7717475537703713,2.2678752158541897,0.2173640923465914,0.258705247007342
17,7.698916218435608,0.6893751298490656,1.2747014252013091,0.00860326560569135,0.1085695158216568,0.505257928027884,0.7041042570260341,10.14540314011463,10.897674133523893,18.793183288946956,4.5455476283031775,8.148557703968217,2.242028392559363,1.8792335799103506,1.3019909875789275,0.531725439860306,0.3853236513897536
18,9.704308909736994,1.386408418850756,1.5508205271256394,1.928574489851041e-07,0.2677940391395135,0.6665908378479998,0.6116003050798353,16.879337471483435,0.7014723861015781,12.465851542734613,6.562206298627363,5.45962979530397,7.452918728580155,3.6014566963500125,4.714039925376424,0.29345308924830565,0.6816395300945308
19,140.53778519846583,1.1010954248379092,0.963304838286216,0.31343691154854875,0.2096239215454485,0.048689327758541595,0.1713031152454702,17.13116945411947,17.649950697172187,6.815014793000248,4.757113744824397,6.836831838697437,7.581806234131275,1.717137762170707,1.3052486570234327,0.20001774763526384,0.2198491060445093
20,32.21903672439882,3.131052702300507,2.933790800275064,0.6541440149053165,0.6535816288156808,0.04385123912636012,0.0800631998649481,2.4302830702136564,6.534025158592032,20.0,18.96730580378045,4.483130340467744,1.6294899858218448,0.9365152100198387,0.4333623632645506,0.8,0.5567623328669756
21,104.50578115163277,3.986099404423765,3.723959461383888,0.0,0.1204004769687822,0.4575504725620283,0.461711064294016,6.6042296269336624,13.679984282339152,3.0462854925251692,3.4365951921365423,0.11873002419011384,0.1125989349218947,4.3803729888342104,4.438415652398624,0.3574858169723703,0.2211387623920157
