ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_stage_0,Synthetic_v_stage_0,Recovered_v_stage_1,Synthetic_v_stage_1
1,-0.9272593337707135,0.7143451605690394,0.8063865376326844,0.2882506751046237,0.2947716502634602,0.6332610099485575,0.6686291253507274,0.36026915006485183,0.3068282242191079,0.5529192022991715,0.4761092870655503,0.8239557074795126,0.7817846433812581,0.3428104848985138,0.3163189157957281,2.134719012409171,2.131915741476359,0.6320973877073154,0.6351249610913382,8.040497966502048,8.80219977218583,8.369410427426754,9.02536556422245
2,-3.0041031589167706,1.608636099465027,1.22864307394038,0.7107867023762012,0.6780420658130272,0.2648406910837343,0.2541852275030753,0.3802519754616691,0.3317191827887483,6.377868837673544,2.927265620931302,3.0319109079357722,2.068453680995507,0.30173172163081297,0.3288294174010283,1.5025213622207787,1.4802482239396997,0.12179370627527755,0.1219198138900876,3.5021579085688885,9.630182395955346,1.8953031111226974,5.039830093987828
3,0.17815179348858728,3.4508389227048486,3.692402730354656,0.6633506444525896,0.671544126696079,0.3944729978540073,0.4119347589123773,0.6406522696957894,0.6791600027773186,4.95352372758639,6.280230786069259,1.2698553219737132,1.5187921707593433,0.5312845204778619,0.5129955880479632,2.9265144330125055,2.935555123895488,0.30562570285945767,0.3053135314483067,0.15855492628246604,0.1252283688647326,3.698492257281478,2.6826282913593635
4,-3.4260903921005204,3.590251926966923,3.1869819023603365,0.844684372745017,0.8369937800671512,0.6432355713637927,0.5627980394129296,0.054273764108910987,0.1195267361223699,9.999937037850538,7.575703592474213,2.9519653890523663,2.63452673023672,0.6560084644787556,0.6523214429727279,3.47018697851838,3.4768633013590464,0.9477359606548954,0.9475415511018244,4.697732335523008,6.545375346228315,6.153145671904225,8.542582098426465
5,-3.9969147528833826,3.074197670358132,2.970352230786187,0.6584189288601368,0.6543910695633092,0.7507328882512887,0.7729116806402683,0.845734609089033,0.8307027366782989,8.248392735032672,9.020760015248444,1.9308355008007223,1.9787513078259036,0.24236294041534404,0.2504127678792351,3.225177141427992,3.369422758295152,0.539268869634761,0.5389315533076343,5.463303776197726,5.42076154739123,8.23674775731772,8.251753305664195
6,-3.2931674396815542,0.1574648467895426,0.1279367375030955,0.8024811005404884,0.7901643768526411,0.0038858606549087684,0.0311706012039482,0.6160539755226174,0.6238751025405492,5.996233971893281,5.874844793504091,3.7260915023652115,3.208745904167984,0.4230039620435633,0.4244481126429537,1.4254122609128212,1.3192094986053853,0.5074623443492183,0.5094085814387623,4.042815593920314,8.858231171497215,5.080543675068436,5.652896703655683
7,-1.94447022979639,3.7466623718615697,2.652595565857267,0.43612163433405443,0.3972413078581507,0.8749650427781295,0.874925178409307,0.734830822657754,0.6682702071165388,4.250386824316138,3.549025108507734,3.63641855458466,3.267655163318297,0.445793562414835,0.5255698471230323,3.5789907162497228,3.5710079858011383,0.2780926492665935,0.2750540510654117,0.7676865858901,1.0806748517233733,1.2766495293869915,1.9127205174117008
8,-2.5815709958412114,1.6928454286240833,1.5481849304203434,0.7804505736554491,0.7686538154408831,0.2815174651633064,0.2437604224523249,0.5459337160780906,0.5637229228878153,9.575274967278927,6.235518010455583,2.494934608825604,2.0402356767396435,0.2240155313028673,0.230201077795671,3.0883392001265113,3.055885330220223,0.2958932224977071,0.2957255344238811,2.520293343871705,3.984581965490401,2.416409797654201,3.772395675305095
9,-4.696634550828021,2.728904760207147,2.6544105266843743,0.07325849897357842,0.0776999581336476,0.4999559496537383,0.494900928424783,0.0,0.0138796401089302,8.461427419770489,9.830389835394168,2.8476703221753863,2.992136111940074,0.45035905864950165,0.430468536797736,0.7767450496373337,0.842967343691686,0.6969802618704632,0.6968783264368051,8.969786895118911,9.058084167065523,3.3078692028874173,3.181087523446168
10,-5.05931756778051,2.139087062327452,3.065968578624919,0.22416191739143715,0.2587482918370689,0.808255191612209,0.861502808136954,0.6395931985561266,0.6320841793153267,3.678976964958078,6.250155931933211,5.0,4.6536736657507385,0.42154187091637274,0.3614254323511511,2.8243623429082176,3.7173782614608144,0.6738106127688326,0.6780829341239825,2.02744115528529,7.7136250720146196,8.06612316809554,5.716353364349514
11,-4.3521284535819165,3.2115950601023213,3.335618709996933,0.6307827179531554,0.6284536193626764,0.13285557644367815,0.1319478315992181,0.5696266831104418,0.5512150157652674,2.1164846336561642,2.7932033561633185,4.978893211519922,4.5793936153365005,0.29473550718786884,0.3189393741260923,1.4467430583320184,1.3571510328738206,0.044097104441432576,0.0476547049696789,1.3460971769936485,4.475791440506382,6.836102796540647,5.575878151711118
12,-3.168151228621488,3.404576378445557,2.294244330308381,0.8542981252937878,0.8148396419637057,0.31411980390884087,0.3126725395205446,0.47253769765859577,0.4027755416321297,3.9172393924225926,8.512376625014975,2.4718941817544313,2.8841465161601243,0.46786807579261447,0.5923957609266403,1.401635083828538,1.3299295224589691,0.4872013839662143,0.487471301625849,9.124400252595267,6.209523875804722,2.285221051425265,1.3339403014523998
13,1.1648949518866258,0.39776994129008614,0.1316348663701378,0.12472134444843512,0.1020699010177435,0.5029741528720589,0.4297149687056877,0.0,0.0216240611677276,0.6596177894086898,6.262089291372217,0.18186154599148438,0.4879130898804223,0.2,0.3505769226297475,1.833014694062318,1.8780238996680083,0.13796733337782865,0.115826746706249,7.495027006112016,2.705519937974664,0.5537092938923976,0.2107967283551126
