Synthetic_participant_ID,Synthetic_lr1,Synthetic_lr2,Synthetic_lam,Synthetic_b1,Synthetic_b2,Synthetic_p,Synthetic_w
1.0,0.8511910206070984,0.6346094810309211,0.8843423394998171,2.499781998222832,4.1321287281028685,0.34045401187430535,0.8972969987624219
2.0,0.8834783666986041,0.07919238442260157,0.175865004841261,19.56310338853249,12.265798977662408,0.2793589706999049,0.35140624397911324
3.0,0.29363537476816626,0.19852503962500778,0.6742511483603388,15.88228498701675,18.975293826291743,0.27605448255352405,0.2229905437427101
4.0,0.92305554562757,0.39685200416966515,0.33009096343056443,16.629545262295956,18.111511690052012,0.6907057344958107,0.6113103044929509
5.0,0.1899536671716998,0.4781588365976981,0.5306674024097924,5.754015803810859,12.229618469390433,0.03163391713388175,0.9079440016625223
6.0,0.14181488312246515,0.5491794132598873,0.7753979822864817,7.0719375119723775,10.669569430256015,0.7596834307674707,0.5873221796999804
7.0,0.6020245545860539,0.737006842599806,0.5944179513385284,15.192665573906009,0.22483450068175648,0.5792205373168979,0.5479607205876807
8.0,0.6723799865370081,0.5758383532058355,0.3499811966311168,3.7477083585881887,14.792671825477656,0.9002209038699744,0.11585508753433893
9.0,0.6941386328461957,0.17363117639439007,0.4681934573044527,19.95365181352832,1.487140912991538,0.16218270811231772,0.5474397404805565
10.0,0.5624085172660727,0.6367183532057175,0.8302749950886875,5.077946844583201,2.5010683521044386,-0.70165969865174,0.9623541325970597
11.0,0.14754762362848006,0.09544293438945484,0.4807033845554427,2.846683553187561,16.66538885206456,0.1218527909148499,0.8899255301511426
12.0,0.7513477340014723,0.4246932596702202,0.9090463239303461,7.937247955414191,18.537973259734834,0.6597055940782632,0.5047745844281459
13.0,0.7797254694452471,0.7419094683593803,0.8164364703999505,1.544321809975171,17.802639354624066,-0.6897482043825245,0.00017941781182895244
14.0,0.35862435102359436,0.07963728282804394,0.717023900307195,16.135899988090802,0.3724798652281702,-0.6265232242129524,0.5265173826471474
15.0,0.4046223757985419,0.15286793281902,0.055486823140064034,5.732697975854344,12.674512386883983,0.8915406536411232,0.05187692322848281
16.0,0.6616692910205824,0.33703323249994277,0.9317537302566389,19.83360075028996,9.041160208198423,-0.7926595727864991,0.8592658143011731
17.0,0.25089575039882983,0.01968066595377893,0.12897166719489372,3.94163372159015,15.29540978520987,-0.18135823955391084,0.7873925144828723
18.0,0.2459918820133863,0.7855895891674032,0.29295370618639993,14.73621044765644,7.310152747180368,-0.5543213056897907,0.8664282861568293
19.0,0.14498234231937468,0.17512131259839725,0.35493157006821685,9.379563531660704,1.5709187486643073,0.9433944628308457,0.12802556948276933
20.0,0.005846055924781157,0.3168052239015512,0.6318565878929807,4.1373461483744745,7.448759615066665,-0.3667854990355599,0.7092994074110164
21.0,0.8852802920855172,0.21109690605929876,0.5695857216953035,0.4473796238347205,1.1421298148069448,0.21808791035024733,0.7048516453957492
22.0,0.5535191170577414,0.6412448639120715,0.40432285693259995,0.08153552997039792,17.348266429405903,0.18482550548553967,0.9889974954957977
23.0,0.15548161366846136,0.5912161674398669,0.5137917542057607,19.655894365793742,19.739260743950283,0.9544151874819329,0.4350859687467863
