ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_stage_0,Synthetic_v_stage_0,Recovered_v_stage_1,Synthetic_v_stage_1
1,-2.7212417671946763,0.7965749247047592,0.8063865376326844,0.2878615737985641,0.2947716502634602,0.6734349303233709,0.6686291253507274,3.5075327317379683,3.4092024913234207,0.2558230157265115,0.2380546435327751,0.2915777929417472,0.293814157205751,1.1091506236537902,1.0172999807403231,0.49481851270703014,0.4951123625611782,6.581001203758463,6.351249610913382,8.59021435472958,8.80219977218583
2,-1.8074196310273094,3.5493695957882903,3.61014622568898,0.27660521000715993,0.2764446916365855,0.6747880588770023,0.6780420658130272,3.0095866060590306,2.824280305589726,1.8793196840528033,1.8428843488263795,0.3897103893698971,0.3756359372558782,1.867194654272989,1.8306557239366752,0.21692506540537915,0.2147156956683805,3.225822642074817,3.1898600647018904,1.212933826193627,1.2191981389008766
3,-3.7670576388330037,4.0,3.852072958382138,0.4560207956336294,0.4535847084589045,0.8348641697763606,0.8307906143297975,8.065503264894994,7.461601407734211,2.381855879023358,2.288526438402096,0.6485410419617087,0.6527733351848791,2.439168977016778,2.6236853908456257,0.3041380491467642,0.3037584341518686,4.380782564827288,5.216593134132719,5.902279229032645,7.123121956474292
4,-5.6222848032533905,1.2262478213336392,1.221254125793227,0.010671999259527644,0.0112705531978259,0.24096875872714008,0.2414365462223427,4.439512061131049,7.9674547559008415,5.0,4.649965444817506,0.5766960689172235,0.5751986929419531,0.7358388923497146,0.7913876929475208,0.7563198015406748,0.7575703592474212,1.5335371519646277,5.269053460473439,10.0,7.5386907162121295
5,-3.842619650423888,2.510149216557951,3.43444681228005,0.8256183252807721,0.8527873959916419,0.5664391343661594,0.5890837811605484,4.238039157377384,8.542582098426465,3.266277429848768,3.712940288482734,0.6289528536203172,0.6362607130422062,3.564671642669613,3.4775257981877696,0.9181430572126766,0.9230030407536652,9.113711111143008,9.020760015248444,8.630959504768127,3.957502615651807
6,-3.600052144689833,0.3920940350852935,0.3360851191949008,0.753389887907191,0.7466163466123342,0.4940625097255863,0.4850383979768708,2.9079025881581417,5.42076154739123,3.9593533986114027,4.125876652832098,0.21304528727699562,0.2191905106254643,3.5695428795445516,3.54845354928308,0.02934192426260098,0.0346340013377203,4.840099354597743,6.931945583783881,9.263229852886969,5.874844793504091
7,-4.58443522516744,2.3429975323855614,2.5669967233343867,0.329441415135918,0.3366721689644305,0.24257943830994944,0.2479158239850937,3.405007081376406,5.094085814387624,5.0,4.429115585748607,0.5261133302499209,0.5391738022193411,2.603010553336792,2.753650898417972,0.4374101904130573,0.4413792309535008,2.2283793428180854,9.72139087121452,9.999566280604842,7.425224523517098
8,-3.5885907465154236,1.3341532575375492,1.4196100434030936,0.582847953119827,0.5881779293972935,0.4843081660869179,0.4883547706845483,7.4127303919608405,8.84056212378686,1.2013801142730527,1.3752702553270586,0.270163351351693,0.2648404911034024,1.0009809795141433,1.0077065914423295,0.387091480413373,0.3870462326050858,10.0,8.540597949343145,3.259067189611992,2.708449138359166
9,-1.8616456870583107,2.0098482022783655,2.5054352128347346,0.5717512150395688,0.5611966209410025,0.1669377062391818,0.3672424218131358,0.5159784404160547,0.5033512965945175,4.999656810023065,3.724169365162464,0.5079218853254843,0.3774353206543287,1.831649636485318,1.7742953272314486,0.3752941469625126,0.3772395675305094,1.3744496244993436,6.636026316710936,0.9988270595436336,0.8633328681516406
10,-4.197948541831554,2.121024832069279,2.1995596818879246,0.013004982963267336,0.0138796401089302,0.8851995738176162,0.8847350851854751,5.986198740885608,5.984272223880148,1.9172226685369276,1.9205711399811327,0.2957048808614389,0.2880487584364896,2.656864747674793,2.878449807816179,0.9059435700590249,0.9058084167065524,2.9125346839243997,3.181087523446168,6.864374747576635,7.664921446562297
